Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
Field Study of the Ability of Two Grassed Bioretention Cells to Reduce Storm-Water Runoff Pollution,"Passeport, Elodie; Hunt, William F.; Line, Daniel E.; Smith, Ryan A.; Brown, Robert A.",JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,2009,135,4,505,510,10.1061/(ASCE)IR.1943-4774.0000006,87
The vegetation of wet meadows in relation to their land-use,"Galatowitsch, SM; Whited, DC; Lehtinen, R; Husveth, J; Schik, K",ENVIRONMENTAL MONITORING AND ASSESSMENT,2000,60,2,121,144,10.1023/A:1006159028274,84
"Understanding, managing, and minimizing urban impacts on surface water nitrogen loading","Bernhardt, Emily S.; Band, Lawrence E.; Walsh, Christopher J.; Berke, Philip E.",YEAR IN ECOLOGY AND CONSERVATION BIOLOGY 2008,2008,1134,,61,96,10.1196/annals.1439.014,81
Ecosystem service provision by stormwater wetlands and ponds - A means for evaluation?,"Moore, Trisha L. C.; Hunt, William F.",WATER RESEARCH,2012,46,20,6811,6823,10.1016/j.watres.2011.11.026,80
Meeting Hydrologic and Water Quality Goals through Targeted Bioretention Design,"Hunt, William F.; Davis, Allen P.; Traver, Robert G.",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,2012,138,6,698,707,10.1061/(ASCE)EE.1943-7870.0000504,78
Runoff and erosion after cutting western juniper,"Pierson, Frederick B.; Bates, Jon D.; Svejcar, Tony J.; Hardegree, Stuart P.",RANGELAND ECOLOGY & MANAGEMENT,2007,60,3,285,292,10.2111/1551-5028(2007)60[285:RAEACW]2.0.CO;2,78
"Interdependence of climate, soil, and vegetation as constrained by the Budyko curve","Gentine, Pierre; D'Odorico, Paolo; Lintner, Benjamin R.; Sivandran, Gajan; Salvucci, Guido",GEOPHYSICAL RESEARCH LETTERS,2012,39,,,,10.1029/2012GL053492,77
Underdrain Configuration to Enhance Bioretention Exfiltration to Reduce Pollutant Loads,"Brown, R. A.; Hunt, W. F.",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,2011,137,11,1082,1091,10.1061/(ASCE)EE.1943-7870.0000437,77
Removal of phosphorus from solution using biogenic iron oxides,"Rentz, Jeremy A.; Turner, Ian P.; Ullman, Jeffrey L.",WATER RESEARCH,2009,43,7,2029,2035,10.1016/j.watres.2009.02.021,76
"Remote sensing and GIS for mapping groundwater recharge and discharge areas in salinity prone catchments, southeastern Australia","Tweed, Sarah O.; Leblanc, Marc; Webb, John A.; Lubczynski, Maciek W.",HYDROGEOLOGY JOURNAL,2007,15,1,75,96,10.1007/s10040-006-0129-x,76
The influence of design parameters on clogging of stormwater biofilters: A large-scale column study,"Le Coustumer, Sebastien; Fletcher, Tim D.; Deletic, Ana; Barraud, Sylvie; Poelsma, Peter",WATER RESEARCH,2012,46,20,6743,6752,10.1016/j.watres.2012.01.026,73
The reduction of heavy metals in a stormwater wetland,"Walker, DJ; Hurl, S",ECOLOGICAL ENGINEERING,2002,18,4,407,414,10.1016/S0925-8574(01)00101-X,72
ANALYSES OF URBAN DRAINAGE NETWORK STRUCTURE AND ITS IMPACT ON HYDROLOGIC RESPONSE,"Meierdiercks, Katherine L.; Smith, James A.; Baeck, Mary Lynn; Miller, Andrew J.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2010,46,5,932,943,10.1111/j.1752-1688.2010.00465.x,69
Forest to reclaimed mine land use change leads to altered ecosystem structure and function,"Simmons, Jeffrey A.; Currie, William S.; Eshleman, Keith N.; Kuers, Karen; Monteleone, Susan; Negley, Tim L.; Pohlad, Bob R.; Thomas, Carolyn L.",ECOLOGICAL APPLICATIONS,2008,18,1,104,118,10.1890/07-1117.1,69
Removal and Fate of Polycyclic Aromatic Hydrocarbon Pollutants in an Urban Stormwater Bioretention Facility,"Diblasi, Catherine J.; Li, Houng; Davis, Allen P.; Ghosh, Upal",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2009,43,2,494,502,10.1021/es802090g,67
Responses of native and invasive wetland plants to hydroperiod and water depth,"Miller, RC; Zedler, JB",PLANT ECOLOGY,2003,167,1,57,69,10.1023/A:1023918619073,67
Aquatic and terrestrial plant species with potential to remove heavy metals from stormwater,"Fritioff, A; Greger, M",INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,2003,5,3,211,224,10.1080/16226510390255661,67
A look inside 'black box' hydrograph separation models: a study at the Hydrohill catchment,"Kendall, C; McDonnell, JJ; Gu, WZ",HYDROLOGICAL PROCESSES,2001,15,10,1877,1902,10.1002/hyp.245,63
Engineered Infiltration Systems for Urban Stormwater Reclamation,"Grebel, Janel E.; Mohanty, Sanjay K.; Torkelson, Andrew A.; Boehm, Alexandria B.; Higgins, Christopher P.; Maxwell, Reed M.; Nelson, Kara L.; Sedlak, David L.",ENVIRONMENTAL ENGINEERING SCIENCE,2013,30,8,437,454,10.1089/ees.2012.0312,62
Tolerance of four wetland plant species to flooding and sediment deposition,"Ewing, K",ENVIRONMENTAL AND EXPERIMENTAL BOTANY,1996,36,2,131,146,10.1016/0098-8472(96)01000-3,62
"CHAMAECYPARIS-THYOIDES WETLANDS AND SUBURBANIZATION - EFFECTS ON HYDROLOGY, WATER-QUALITY AND PLANT COMMUNITY COMPOSITION","EHRENFELD, JG; SCHNEIDER, JP",JOURNAL OF APPLIED ECOLOGY,1991,28,2,467,490,10.2307/2404562,62
Value of Artificial Habitats for Amphibian Reproduction in Altered Landscapes,"Brand, Adrianne B.; Snodgrass, Joel W.",CONSERVATION BIOLOGY,2010,24,1,295,301,10.1111/j.1523-1739.2009.01301.x,60
Treatment performance of gravel filter media: Implications for design and application of stormwater infiltration systems,"Hatt, Belinda E.; Fletcher, Tim D.; Deletic, Ana",WATER RESEARCH,2007,41,12,2513,2524,10.1016/j.watres.2007.03.014,59
"Comparison of stormflow responses of surface-mined and forested watersheds in the Appalachian Mountains, USA","Negley, Timothy L.; Eshleman, Keith N.",HYDROLOGICAL PROCESSES,2006,20,16,3467,3483,10.1002/hyp.6148,56
Water subsidies from mountains to deserts: their role in sustaining groundwater-fed oases in a sandy landscape,"Jobbagy, E. G.; Nosetto, M. D.; Villagra, P. E.; Jackson, R. B.",ECOLOGICAL APPLICATIONS,2011,21,3,678,694,10.1890/09-1427.1,54
Denitrification Potential in Stormwater Control Structures and Natural Riparian Zones in an Urban Landscape,"Bettez, Neil D.; Groffman, Peter M.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2012,46,20,10909,10917,10.1021/es301409z,53
Urban nitrogen biogeochemistry: status and processes in green retention basins,"Zhu, WX; Dillard, ND; Grimm, NB",BIOGEOCHEMISTRY,2004,71,2,177,196,10.1007/s10533-004-9683-2,52
Optimising nitrogen removal in existing stormwater biofilters: Benefits and tradeoffs of a retrofitted saturated zone,"Zinger, Yaron; Blecken, Godecke-Tobias; Fletcher, Tim D.; Viklander, Maria; Deletic, Ana",ECOLOGICAL ENGINEERING,2013,51,,75,82,10.1016/j.ecoleng.2012.12.007,51
A field study of constructed wetlands for preventing and treating acid mine drainage,"Nyquist, Johanna; Greger, Maria",ECOLOGICAL ENGINEERING,2009,35,5,630,642,10.1016/j.ecoleng.2008.10.018,49
AMPHIBIAN OCCURRENCE AND WETLAND CHARACTERISTICS IN THE PUGET-SOUND BASIN,"RICHTER, KO; AZOUS, AL",WETLANDS,1995,15,3,305,312,10.1007/BF03160711,49
Integrated stream and wetland restoration: A watershed approach to improved water quality on the landscape,"Richardson, Curtis J.; Flanagan, Neal E.; Ho, Mengchi; Pahl, James W.",ECOLOGICAL ENGINEERING,2011,37,1,25,39,10.1016/j.ecoleng.2010.09.005,48
Dynamic emergy accounting for assessing the environmental benefits of subtropical wetland stormwater management systems,"Tilley, DR; Brown, MT",ECOLOGICAL MODELLING,2006,192,3-4,327,361,10.1016/j.ecolmodel.2005.07.034,47
Do tubificid worms influence the fate of organic matter and pollutants in stormwater sediments?,"Mermillod-Blondin, F; Nogaro, G; Datry, T; Malard, F; Gibert, J",ENVIRONMENTAL POLLUTION,2005,134,1,57,69,10.1016/j.envpol.2004.07.024,46
Plant Traits that Enhance Pollutant Removal from Stormwater in Biofiltration Systems,"Read, Jennifer; Fletcher, Tim D.; Wevill, Tricia; Deletic, Ana",INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,2010,12,1,34,53,10.1080/15226510902767114,45
"Nutrient removal in a pilot and full scale constructed wetland, Putrajaya city, Malaysia","Sim, Cheng Hua; Yusoff, Mohd Kamil; Shutes, Brian; Ho, Sinn Chye; Mansor, Mashhor",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2008,88,2,307,317,10.1016/j.jenvman.2007.03.011,45
Estimating ecological thresholds for phosphorus in the Everglades,"Richardson, Curtis J.; King, Ryan S.; Qian, Song S.; Vaithiyanathan, Panchabi; Qualls, Robert G.; Stow, Craig A.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2007,41,23,8084,8091,10.1021/es062624w,45
Laboratory study on stormwater biofiltration Nutrient and sediment removal in cold temperatures,"Blecken, Godecke-Tobias; Zinger, Yaron; Deletic, Ana; Fletcher, Tim D.; Hedstrom, Annelie; Viklander, Maria",JOURNAL OF HYDROLOGY,2010,394,3-4,507,514,10.1016/j.jhydrol.2010.10.010,43
Patterns of vertical stratification in a subtropical constructed wetland in south Florida (USA),"Chimney, Michael J.; Wenkert, Lori; Pietro, Kathleen C.",ECOLOGICAL ENGINEERING,2006,27,4,322,330,10.1016/j.ecoleng.2006.05.017,43
Biofilters for Stormwater Harvesting: Understanding the Treatment Performance of Key Metals That Pose a Risk for Water Use,"Feng, Wenjun; Hatt, Belinda E.; McCarthy, David T.; Fletcher, Tim D.; Deletic, Ana",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2012,46,9,5100,5108,10.1021/es203396f,42
Influence of hydrologic regime and vegetation on phosphorus retention in Everglades stormwater treatment area wetlands,"White, JR; Reddy, KR; Moustafa, MZ",HYDROLOGICAL PROCESSES,2004,18,2,343,355,10.1002/hyp.1379,42
Feasibility of constructed wetlands for removing chlorothalonil and chlorpyrifos from aqueous mixtures,"Sherrard, RM; Bearr, JS; Murray-Gulde, CL; Rodgers, JH; Shah, YT",ENVIRONMENTAL POLLUTION,2004,127,3,385,394,10.1016/j.envpol.2003.08.017,41
Denitrification in Alluvial Wetlands in an Urban Landscape,"Harrison, Melanie D.; Groffman, Peter M.; Mayer, Paul M.; Kaushal, Sujay S.; Newcomer, Tamara A.",JOURNAL OF ENVIRONMENTAL QUALITY,2011,40,2,634,646,10.2134/jeq2010.0335,40
USE OF MACROPHYTES FOR POLLUTION TREATMENT IN URBAN WETLANDS,"ELLIS, JB; SHUTES, RB; REVITT, DM; ZHANG, TT",RESOURCES CONSERVATION AND RECYCLING,1994,11,1-4,1,12,10.1016/0921-3449(94)90074-4,40
Sorption behavior of heavy metal species by soakaway sediment receiving urban road runoff from residential and heavily trafficked areas,"Murakamia, Michio; Fujita, Makoto; Furumai, Hiroaki; Kasuga, Ikuro; Kurisu, Futoshi",JOURNAL OF HAZARDOUS MATERIALS,2009,164,2-3,707,712,10.1016/j.jhazmat.2008.08.052,39
Best management practices for nutrient and sediment retention in urban stormwater runoff,"Hogan, Dianna M.; Walbridge, Mark R.",JOURNAL OF ENVIRONMENTAL QUALITY,2007,36,2,386,395,10.2134/jeq2006.0142,39
"A scale invariant coupling of plants, water, energy, and terrain","Milne, BT; Gupta, VK; Restrepo, C",ECOSCIENCE,2002,9,2,191,199,10.1080/11956860.2002.11682705,39
"Groundwater recharge and hydrogeochemical evolution in the Ejina Basin, northwest China","Wang, Ping; Yu, Jingjie; Zhang, Yichi; Liu, Changming",JOURNAL OF HYDROLOGY,2013,476,,72,86,10.1016/j.jhydrol.2012.10.049,38
"Application of fuzzy theory and PROMETHEE technique to evaluate suitable ecotechnology method: A case study in Shihmen Reservoir Watershed, Taiwan","Chou, Wen-Chieh; Lin, Wen-Tzu; Lin, Chao-Yuan",ECOLOGICAL ENGINEERING,2007,31,4,269,280,10.1016/j.ecoleng.2007.08.004,37
Livestock exclusion and belowground ecosystem responses in riparian meadows of Eastern Oregon,"Kauffman, JB; Thorpe, AS; Brookshire, ENJ",ECOLOGICAL APPLICATIONS,2004,14,6,1671,1679,10.1890/03-5083,37
Floating treatment wetland aided remediation of nitrogen and phosphorus from simulated stormwater runoff,"White, Sarah A.; Cousins, Matthew M.",ECOLOGICAL ENGINEERING,2013,61,,207,215,10.1016/j.ecoleng.2013.09.020,36
Removal of nitrogen by a layered soil infiltration system during intermittent storm events,"Cho, Kang Woo; Song, Kyung Guen; Cho, Jin Woo; Kim, Tae Gyun; Ahn, Kyu Hong",CHEMOSPHERE,2009,76,5,690,696,10.1016/j.chemosphere.2009.03.025,36
"Origins and processes of groundwater salinization in the urban coastal aquifers of Recife (Pernambuco, Brazil): A multi-isotope approach","Cary, Lise; Petelet-Giraud, Emmanuelle; Bertrand, Guillaume; Kloppmann, Wolfram; Aquilina, Luc; Martins, Veridiana; Hirata, Ricardo; Montenegro, Suzana; Pauwels, Helene; Chatton, Eliot; Franzen, Melissa; Aurouet, Axel",SCIENCE OF THE TOTAL ENVIRONMENT,2015,530,,411,429,10.1016/j.scitotenv.2015.05.015,35
Shrubs enhance resilience of a semi-arid ecosystem by engineering and regrowth,"Segoli, Moran; Ungar, Eugene David; Shachak, Moshe",ECOHYDROLOGY,2008,1,4,330,339,10.1002/eco.21,35
Soil and plant responses from land application of saline-sodic waters: Implications of management,"Vance, George F.; King, Lyle A.; Ganjegunte, Girisha K.",JOURNAL OF ENVIRONMENTAL QUALITY,2008,37,5,S139,S148,10.2134/jeq2007.0442,35
Accumulation of heavy metals in a constructed wetland treating road runoff,"Gill, Laurence W.; Ring, Pamela; Higgins, Neil M. P.; Johnston, Paul M.",ECOLOGICAL ENGINEERING,2014,70,,133,139,10.1016/j.ecoleng.2014.03.056,34
"A survey of groundwater levels and hydrogeochemistry in irrigated fields in the Karamay Agricultural Development Area, northwest China: Implications for soil and groundwater salinity resulting from surface water transfer for irrigation","Han, Dongmei; Song, Xianfang; Currell, Matthew J.; Cao, Guoliang; Zhang, Yinghua; Kang, Yuehu",JOURNAL OF HYDROLOGY,2011,405,3-4,217,234,10.1016/j.jhydrol.2011.03.052,34
A model examining hierarchical wetland networks for watershed stormwater management,"Cohen, Matthew J.; Brown, Mark T.",ECOLOGICAL MODELLING,2007,201,2,179,193,10.1016/j.ecolmodel.2006.09.029,34
Temporary Storage or Permanent Removal? The Division of Nitrogen between Biotic Assimilation and Denitrification in Stormwater Biofiltration Systems,"Payne, Emily G. I.; Fletcher, Tim D.; Russell, Douglas G.; Grace, Michael R.; Cavagnaro, Timothy R.; Evrard, Victor; Deletic, Ana; Hatt, Belinda E.; Cook, Perran L. M.",PLOS ONE,2014,9,3,,,10.1371/journal.pone.0090890,33
Extreme spatial variability and unprecedented methylmercury concentrations within a constructed wetland,"Rumbold, DG; Fink, LE",ENVIRONMENTAL MONITORING AND ASSESSMENT,2006,112,1-3,115,135,10.1007/s10661-006-0767-4,33
The groundwater recharge response and hydrologic services of tropical humid forest ecosystems to use and reforestation: Support for the infiltration-evapotranspiration trade-off hypothesis,"Krishnaswamy, Jagdish; Bonell, Michael; Venkatesh, Basappa; Purandara, Bekal K.; Rakesh, K. N.; Lele, Sharachchandra; Kiran, M. C.; Reddy, Veerabasawant; Badiger, Shrinivas",JOURNAL OF HYDROLOGY,2013,498,,191,209,10.1016/j.jhydrol.2013.06.034,32
Exploring hydrobiogeochemical processes of floating treatment wetlands in a subtropical stormwater wet detention pond,"Chang, Ni-Bin; Xuan, Zhemin; Marimon, Zachary; Islam, Kamrul; Wanielista, Martin P.",ECOLOGICAL ENGINEERING,2013,54,,66,76,10.1016/j.ecoleng.2013.01.019,32
Effects of Media and Plant Selection on Biofiltration Performance,"Barrett, Michael E.; Limouzin, Maelle; Lawler, Desmond F.",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,2013,139,4,462,470,10.1061/(ASCE)EE.1943-7870.0000551,32
Influence of plant species and submerged zone with carbon addition on nutrient removal in stormwater biofilter,"Zhang, Zhenhua; Rengel, Zed; Liaghati, Tania; Antoniette, Torre; Meney, Kathy",ECOLOGICAL ENGINEERING,2011,37,11,1833,1841,10.1016/j.ecoleng.2011.06.016,32
Performance of dryland and wetland plant species on extensive green roofs,"MacIvor, J. Scott; Ranalli, Melissa A.; Lundholm, Jeremy T.",ANNALS OF BOTANY,2011,107,4,671,679,10.1093/aob/mcr007,32
Development and validation of a macroinvertebrate index of biotic integrity (IBI) for assessing urban impacts to Northern California freshwater wetlands,"Lunde, Kevin B.; Resh, Vincent H.",ENVIRONMENTAL MONITORING AND ASSESSMENT,2012,184,6,3653,3674,10.1007/s10661-011-2214-4,31
The impacts of re-introducing Mississippi River water on the hydrologic budget and nutrient inputs of a deltaic estuary,"Hyfield, Emily C. G.; Day, John W.; Cable, Jaye E.; Justic, Dubravko",ECOLOGICAL ENGINEERING,2008,32,4,347,359,10.1016/j.ecoleng.2007.12.009,31
Phosphorus mass load and outflow concentration relationships in stormwater treatment areas for Everglades restoration,"Juston, J; DeBusk, TA",ECOLOGICAL ENGINEERING,2006,26,3,206,223,10.1016/j.ecoleng.2005.09.011,31
THE DISTRIBUTION OF VASCULAR PLANT-SPECIES AND GUILDS IN SPACE AND TIME ALONG A DESERT GRADIENT,"CORNELIUS, JM; KEMP, PR; LUDWIG, JA; CUNNINGHAM, GL",JOURNAL OF VEGETATION SCIENCE,1991,2,1,59,72,10.2307/3235898,31
Assessment of the nutrient removal effectiveness of floating treatment wetlands applied to urban retention ponds,"Wang, Chih-Yu; Sample, David J.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2014,137,,23,35,10.1016/j.jenvman.2014.02.008,30
Phosphorus Speciation and Treatment Using Enhanced Phosphorus Removal Bioretention,"Liu, Jiayu; Davis, Allen P.",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2014,48,1,607,614,10.1021/es404022b,30
"Physical hydrogeology and environmental isotopes to constrain the age, origins, and stability of a low-salinity groundwater lens formed by periodic river recharge: Murray Basin, Australia","Cartwright, Ian; Weaver, Tamie R.; Simmons, Craig T.; Fifield, L. Keith; Lawrence, Charles R.; Chisari, Robert; Varley, Simon",JOURNAL OF HYDROLOGY,2010,380,1-2,203,221,10.1016/j.jhydrol.2009.11.001,30
"Uptake of Zn, Cu, and Cd in metal loaded Elodea canadensis","Nyquist, Johanna; Greger, Maria",ENVIRONMENTAL AND EXPERIMENTAL BOTANY,2007,60,2,219,226,10.1016/j.envexpbot.2006.10.009,30
E. coli removal in laboratory scale stormwater biofilters: Influence of vegetation and submerged zone,"Chandrasena, G. I.; Pham, T.; Payne, E. G.; Deletic, A.; McCarthy, D. T.",JOURNAL OF HYDROLOGY,2014,519,,814,822,10.1016/j.jhydrol.2014.08.015,29
Streetscale bioretention basins in Melbourne and their effect on local biodiversity,"Kazemi, Fatemeh; Beecham, Simon; Gibbs, Joan",ECOLOGICAL ENGINEERING,2009,35,10,1454,1465,10.1016/j.ecoleng.2009.06.003,29
Transport and attenuation of dissolved glyphosate and AMPA in a stormwater wetland,"Imfeld, Gwenael; Lefrancq, Marie; Maillard, Elodie; Payraudeau, Sylvain",CHEMOSPHERE,2013,90,4,1333,1339,10.1016/j.chemosphere.2012.04.054,28
Does increased model complexity improve description of phosphorus dynamics in a large treatment wetland?,"Paudel, Rajendra; Jawitz, James W.",ECOLOGICAL ENGINEERING,2012,42,,283,294,10.1016/j.ecoleng.2012.02.014,28
Development and application of a conceptual hydrologic model to predict soil salinity within modern Tunisian oases,"Askri, Brahim; Bouhlila, Rachida; Job, Jean Olivier",JOURNAL OF HYDROLOGY,2010,380,1-2,45,61,10.1016/j.jhydrol.2009.10.022,28
Improvements in mapping water bodies using ASTER data,"Sivanpillai, Ramesh; Miller, Scott N.",ECOLOGICAL INFORMATICS,2010,5,1,73,78,10.1016/j.ecoinf.2009.09.013,28
"Geochemistry, origin and recharge mechanisms of groundwaters from the Garoua Sandstone aquifer, northern Cameroon","Njitchoua, R; Dever, L; Fontes, JC; Naah, E",JOURNAL OF HYDROLOGY,1997,190,1-2,123,140,10.1016/S0022-1694(96)03049-1,28
Stable oxygen isotope and flux partitioning demonstrates understory of an oak savanna contributes up to half of ecosystem carbon and water exchange,"Dubbert, Maren; Piayda, Arndt; Cuntz, Matthias; Correia, Alexandra C.; Silva, Filipe Costa e; Pereira, Joao S.; Werner, Christiane",FRONTIERS IN PLANT SCIENCE,2014,5,,,,10.3389/fpls.2014.00530,26
"From hydrodynamic to hydrological modelling: Investigating long-term hydrological regimes of key wetlands in the Macquarie Marshes, a semi-arid lowland floodplain in Australia","Wen, Li; Macdonald, Rohan; Morrison, Tim; Hameed, Tahir; Saintilan, Neil; Ling, Joanne",JOURNAL OF HYDROLOGY,2013,500,,45,61,10.1016/j.jhydrol.2013.07.015,26
Effects of Urban Development on Ant Communities: Implications for Ecosystem Services and Management,"Sanford, Monte P.; Manley, Patricia N.; Murphy, Dennis D.",CONSERVATION BIOLOGY,2009,23,1,131,141,10.1111/j.1523-1739.2008.01040.x,26
"Stormwater ponds, constructed wetlands, and other best management practices as potential breeding sites for West Nile virus vectors in Delaware during 2004","Gingrich, Jack B.; Anderson, Robert D.; Williams, Gregory M.; O'Connor, Linda; Harkins, Kevin",JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,2006,22,2,282,291,10.2987/8756-971X(2006)22[282:SPCWAO]2.0.CO;2,26
Potential for using native plant species in stormwater wetlands,"Bonilla-Warford, CM; Zedler, JB",ENVIRONMENTAL MANAGEMENT,2002,29,3,385,394,10.1007/s00267-001-0032-0,26
"Community congruence of plants, invertebrates and birds in natural and constructed shallow open-water wetlands: Do we need to monitor multiple assemblages?","Rooney, Rebecca C.; Bayley, Suzanne E.",ECOLOGICAL INDICATORS,2012,20,,42,50,10.1016/j.ecolind.2011.11.029,25
Detecting infiltration and impacts of introduced water using strontium isotopes,"Brinck, Elizabeth L.; Frost, Carol D.",GROUND WATER,2007,45,5,554,568,10.1111/j.1745-6584.2007.00345.x,25
"Influence of climate change, tidal mixing, and watershed urbanization on historical water quality in Newport Bay, a saltwater wetland and tidal embayment in southern California","Pednekar, AM; Grant, SB; Jeong, Y; Poon, Y; Oancea, C",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2005,39,23,9071,9082,10.1021/es0504789,25
Wetland remediation of cyanide and hydrocarbons,"Gessner, TP; Kadlec, RH; Reaves, RP",ECOLOGICAL ENGINEERING,2005,25,4,457,469,10.1016/j.ecoleng.2005.07.015,25
HYDROLOGIC DESIGN OF A WETLAND - ADVANTAGES OF CONTINUOUS MODELING,"KONYHA, KD; SHAW, DT; WEILER, KW",ECOLOGICAL ENGINEERING,1995,4,2,99,116,10.1016/0925-8574(93)E0052-R,25
Meta-Analysis of Lost Ecosystem Attributes in Urban Streams and the Effectiveness of Out-of-Channel Management Practices,"Smucker, Nathan J.; Detenbeck, Naomi E.",RESTORATION ECOLOGY,2014,22,6,741,748,10.1111/rec.12134,24
Evaluation of undersized bioretention stormwater control measures for treatment of highway bridge deck runoff,"Luell, S. K.; Hunt, W. F.; Winston, R. J.",WATER SCIENCE AND TECHNOLOGY,2011,64,4,974,979,10.2166/wst.2011.736,24
Laboratory study of heavy metal phytoremediation by three wetland macrophytes,"Weiss, Jeff; Hondzo, Nfiki; Biesboer, David; Semmens, Michael",INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,2006,8,3,245,259,10.1080/15226510600846798,24
Zebrafish and clean water technology: Assessing soil bioretention as a protective treatment for toxic urban runoff,"McIntyre, J. K.; Davis, J. W.; Incardona, J. P.; Stark, J. D.; Anulacion, B. F.; Scholz, N. L.",SCIENCE OF THE TOTAL ENVIRONMENT,2014,500,,173,180,10.1016/j.scitotenv.2014.08.066,23
