id,Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
0,"Urban green space, public health, and environmental justice: The
challenge of making cities 'just green enough'","Wolch, Jennifer R.; Byrne, Jason; Newell, Joshua P.",LANDSCAPE AND URBAN PLANNING,2014,125,,234,244,10.1016/j.landurbplan.2014.01.017,320
0,"Coupling biogeochemical cycles in urban environments: ecosystem
services, green solutions, and misconceptions","Pataki, Diane E.; Carreiro, Margaret M.; Cherrier, Jennifer; Grulke, Nancy E.; Jennings, Viniece; Pincetl, Stephanie; Pouyat, Richard V.; Whitlow, Thomas H.; Zipperer, Wayne C.",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2011,9,1,27,36,10.1890/090220,265
0,"Impediments and solutions to sustainable, watershed-scale urban
stormwater management: Lessons from Australia and the United States","Roy, Allison H.; Wenger, Seth J.; Fletcher, Tim D.; Walsh, Christopher J.; Ladson, Anthony R.; Shuster, William D.; Thurston, Hale W.; Brown, Rebekah R.",ENVIRONMENTAL MANAGEMENT,2008,42,2,344,359,10.1007/s00267-008-9119-1,198
0,"NEW FORESTRY PRINCIPLES FROM ECOSYSTEM ANALYSIS OF PACIFIC-NORTHWEST
FORESTS","SWANSON, FJ; FRANKLIN, JF",ECOLOGICAL APPLICATIONS,1992,2,3,262,274,10.2307/1941860,178
0,"River restoration: the fuzzy logic of repairing reaches to reverse
catchment scale degradation","Bernhardt, Emily S.; Palmer, Margaret A.",ECOLOGICAL APPLICATIONS,2011,21,6,1926,1931,10.1890/10-1574.1,143
0,"Effects of climate change on freshwater ecosystems of the south-eastern
United States and the Gulf Coast of Mexico","Mulholland, PJ; Best, GR; Coutant, CC; Hornberger, GM; Meyer, JL; Robinson, PJ; Stenberg, JR; Turner, RE; VeraHerrera, F; Wetzel, RG",HYDROLOGICAL PROCESSES,1997,11,8,949,970,,139
0,"Comprehensive concept planning of urban greening based on ecological
principles: a case study in Beijing, China","Li, F; Wang, RS; Paulussen, J; Liu, XS",LANDSCAPE AND URBAN PLANNING,2005,72,4,325,336,10.1016/j.landurbplan.2004.04.002,136
0,"Components of floating emergent macrophyte treatment wetlands
influencing removal of stormwater pollutants","Tanner, Chris C.; Headley, Tom R.",ECOLOGICAL ENGINEERING,2011,37,3,474,486,10.1016/j.ecoleng.2010.12.012,105
0,"A cellular automata model of land cover change to integrate urban growth
with open space conservation","Mitsova, Diana; Shuster, William; Wang, Xinhao",LANDSCAPE AND URBAN PLANNING,2011,99,2,141,153,10.1016/j.landurbplan.2010.10.001,104
0,"Planning for cooler cities: A framework to prioritise green
infrastructure to mitigate high temperatures in urban landscapes","Norton, Briony A.; Coutts, Andrew M.; Livesley, Stephen J.; Harris, Richard J.; Hunter, Annie M.; Williams, Nicholas S. G.",LANDSCAPE AND URBAN PLANNING,2015,134,,127,138,10.1016/j.landurbplan.2014.10.018,102
0,"Reconnecting Cities to the Biosphere: Stewardship of Green
Infrastructure and Urban Ecosystem Services","Andersson, Erik; Barthel, Stephan; Borgstrom, Sara; Colding, Johan; Elmqvist, Thomas; Folke, Carl; Gren, Asa",AMBIO,2014,43,4,445,453,10.1007/s13280-014-0506-y,95
0,"Modeling nitrate leaching with a biogeochemical model modified based on
observations in a row-crop field in Iowa","Li, CS; Farahbakhshazad, N; Jaynes, DB; Dinnes, DL; Salas, W; McLaughlin, D",ECOLOGICAL MODELLING,2006,196,2-Jan,116,130,10.1016/j.ecolmodel.2006.02.007,95
0,"Groundwater-surface water interactions: New methods and models to
improve understanding of processes and dynamics","Fleckenstein, Jan H.; Krause, Stefan; Hannah, David M.; Boano, Fulvio",ADVANCES IN WATER RESOURCES,2010,33,11,1291,1295,10.1016/j.advwatres.2010.09.011,94
0,"Characterising the urban environment of UK cities and towns: A template
for landscape planning","Gill, Susannah E.; Handley, John F.; Ennos, A. Roland; Pauleit, Stephan; Theuray, Nicolas; Lindley, Sarah J.",LANDSCAPE AND URBAN PLANNING,2008,87,3,210,222,10.1016/j.landurbplan.2008.06.008,94
0,"Water conservancy projects in China: Achievements, challenges and way
forward","Liu, Junguo; Zang, Chuanfu; Tian, Shiying; Liu, Jianguo; Yang, Hong; Jia, Shaofeng; You, Liangzhi; Liu, Bo; Zhang, Miao",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2013,23,3,633,643,10.1016/j.gloenvcha.2013.02.002,88
0,"Green justice or just green? Provision of urban green spaces in Berlin,
Germany","Kabisch, Nadja; Haase, Dagmar",LANDSCAPE AND URBAN PLANNING,2014,122,,129,139,10.1016/j.landurbplan.2013.11.016,81
0,"Removal of dissolved nitrogen, phosphorus and carbon from stormwater by
biofiltration mesocosms","Henderson, C.; Greenway, M.; Phillips, I.",WATER SCIENCE AND TECHNOLOGY,2007,55,4,183,191,10.2166/wst.2007.108,79
0,"Establishing green roof infrastructure through environmental policy
instruments","Carter, Timothy; Fowler, Laurie",ENVIRONMENTAL MANAGEMENT,2008,42,1,151,164,10.1007/s00267-008-9095-5,78
0,"Mitigating and adapting to climate change: Multi-functional and
multi-scale assessment of green urban infrastructure","Demuzere, M.; Orru, K.; Heidrich, O.; Olazabal, E.; Geneletti, D.; Orru, H.; Bhave, A. G.; Mittal, N.; Feliu, E.; Faehnle, M.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2014,146,,107,115,10.1016/j.jenvman.2014.07.025,77
0,"Maryland's Green Infrastructure Assessment: Development of a
comprehensive approach to land conservation","Weber, T; Sloan, A; Wolf, J",LANDSCAPE AND URBAN PLANNING,2006,77,2-Jan,94,110,10.1016/j.landurbplan.2005.02.002,76
0,"Efficiency of parks in mitigating urban heat island effect: An example
from Addis Ababa","Feyisa, Gudina Legese; Dons, Klaus; Meilby, Henrik",LANDSCAPE AND URBAN PLANNING,2014,123,,87,95,10.1016/j.landurbplan.2013.12.008,74
