"Title","DOI"
"The groundwater recharge response and hydrologic services of tropical humid forest ecosystems to use and reforestation: Support for the infiltration-evapotranspiration trade-off hypothesis","10.1016/j.jhydrol.2013.06.034"
"Exploring hydrobiogeochemical processes of floating treatment wetlands in a subtropical stormwater wet detention pond","10.1016/j.ecoleng.2013.01.019"
"Effects of Media and Plant Selection on Biofiltration Performance","10.1061/(ASCE)EE.1943-7870.0000551"
"Influence of plant species and submerged zone with carbon addition on nutrient removal in stormwater biofilter","10.1016/j.ecoleng.2011.06.016"
"Performance of dryland and wetland plant species on extensive green roofs","10.1093/aob/mcr007"
"Development and validation of a macroinvertebrate index of biotic integrity (IBI) for assessing urban impacts to Northern California freshwater wetlands","10.1007/s10661-011-2214-4"
"The impacts of re-introducing Mississippi River water on the hydrologic budget and nutrient inputs of a deltaic estuary","10.1016/j.ecoleng.2007.12.009"
"Phosphorus mass load and outflow concentration relationships in stormwater treatment areas for Everglades restoration","10.1016/j.ecoleng.2005.09.011"
"THE DISTRIBUTION OF VASCULAR PLANT-SPECIES AND GUILDS IN SPACE AND TIME ALONG A DESERT GRADIENT","10.2307/3235898"
"Phosphorus Speciation and Treatment Using Enhanced Phosphorus Removal Bioretention","10.1021/es404022b"
"Physical hydrogeology and environmental isotopes to constrain the age, origins, and stability of a low-salinity groundwater lens formed by periodic river recharge: Murray Basin, Australia","10.1016/j.jhydrol.2009.11.001"
"Uptake of Zn, Cu, and Cd in metal loaded Elodea canadensis","10.1016/j.envexpbot.2006.10.009"
"E. coli removal in laboratory scale stormwater biofilters: Influence of vegetation and submerged zone","10.1016/j.jhydrol.2014.08.015"
"Transport and attenuation of dissolved glyphosate and AMPA in a stormwater wetland","10.1016/j.chemosphere.2012.04.054"
"Does increased model complexity improve description of phosphorus dynamics in a large treatment wetland?","10.1016/j.ecoleng.2012.02.014"
"Development and application of a conceptual hydrologic model to predict soil salinity within modern Tunisian oases","10.1016/j.jhydrol.2009.10.022"
"Improvements in mapping water bodies using ASTER data","10.1016/j.ecoinf.2009.09.013"
"Geochemistry, origin and recharge mechanisms of groundwaters from the Garoua Sandstone aquifer, northern Cameroon","10.1016/S0022-1694(96)03049-1"
"Stable oxygen isotope and flux partitioning demonstrates understory of an oak savanna contributes up to half of ecosystem carbon and water exchange","10.3389/fpls.2014.00530"
"From hydrodynamic to hydrological modelling: Investigating long-term hydrological regimes of key wetlands in the Macquarie Marshes, a semi-arid lowland floodplain in Australia","10.1016/j.jhydrol.2013.07.015"
"Effects of Urban Development on Ant Communities: Implications for Ecosystem Services and Management","10.1111/j.1523-1739.2008.01040.x"
"Stormwater ponds, constructed wetlands, and other best management practices as potential breeding sites for West Nile virus vectors in Delaware during 2004","10.2987/8756-971X(2006)22[282:SPCWAO]2.0.CO;2"
"Potential for using native plant species in stormwater wetlands","10.1007/s00267-001-0032-0"
"Community congruence of plants, invertebrates and birds in natural and constructed shallow open-water wetlands: Do we need to monitor multiple assemblages?","10.1016/j.ecolind.2011.11.029"
"Detecting infiltration and impacts of introduced water using strontium isotopes","10.1111/j.1745-6584.2007.00345.x"
"Influence of climate change, tidal mixing, and watershed urbanization on historical water quality in Newport Bay, a saltwater wetland and tidal embayment in southern California","10.1021/es0504789"
"Wetland remediation of cyanide and hydrocarbons","10.1016/j.ecoleng.2005.07.015"
"HYDROLOGIC DESIGN OF A WETLAND - ADVANTAGES OF CONTINUOUS MODELING","10.1016/0925-8574(93)E0052-R"
"Meta-Analysis of Lost Ecosystem Attributes in Urban Streams and the Effectiveness of Out-of-Channel Management Practices","10.1111/rec.12134"
"Evaluation of undersized bioretention stormwater control measures for treatment of highway bridge deck runoff","10.2166/wst.2011.736"
"Laboratory study of heavy metal phytoremediation by three wetland macrophytes","10.1080/15226510600846798"
"Vegetation effects on floating treatment wetland nutrient removal and harvesting strategies in urban stormwater ponds","10.1016/j.scitotenv.2014.08.063"
"Framework and Tool for Rapid Assessment of Stream Susceptibility to Hydromodification","10.1111/j.1752-1688.2012.00653.x"
"Floating wetland mesocosm assessment of nutrient removal to reduce ecotoxicity in stormwater ponds","10.1007/s13762-012-0061-7"
"Watershed-scale analysis of pollutant distributions in stormwater management ponds","10.1007/s11252-011-0162-y"
"Modeling and Sizing Bioretention Using Flow Duration Control","10.1061/(ASCE)HE.1943-5584.0000205"
"Ecological risk assessment of zinc from stormwater runoff to an aquatic ecosystem","10.1016/j.scitotenv.2009.12.004"
"Impact of wildfire on source water contributions in Devil Creek, CA: evidence from end-member mixing analysis","10.1002/hyp.7132"
"Projections of 21st Century Sierra Nevada Local Hydrologic Flow Components Using an Ensemble of General Circulation Models","10.1111/j.1752-1688.2012.00675.x"
"The rain-runoff response of tropical humid forest ecosystems to use and reforestation in the Western Ghats of India","10.1016/j.jhydrol.2012.09.016"
"The importance of habitat design and aquatic connectivity in amphibian use of urban stormwater retention ponds","10.1007/s11252-011-0212-5"
"Particulate phosphorus transformations in south Florida stormwater treatment areas used for Everglades protection","10.1016/j.ecoleng.2008.07.013"
"Riverine transport of biogenic elements to the Baltic Sea - past and possible future perspectives","10.5194/hess-11-1593-2007"
"An experimental seasonal hydrological forecasting system over the Yellow River basin - Part 2: The added value from climate forecast models","10.5194/hess-20-2453-2016"
"Pesticide Mass Budget in a Stormwater Wetland","10.1021/es500586x"
"Isotopic tracing of clear water sources in an urban sewer: A combined water and dissolved sulfate stable isotope approach","10.1016/j.watres.2009.09.024"
"Urban wet environment as mosquito habitat in the upper midwest","10.1007/s10393-007-0152-y"
"Disposition of rainwater under creosotebush","10.1002/hyp.1272"
"Designing constructed wetlands to remove phosphorus from barnyard runoff: A comparison of four alternative substrates","10.1080/10934520009377040"
"Hydrologic balance for a subtropical treatment wetland constructed for nutrient removal","10.1016/S0925-8574(98)00076-7"
"Hydrodynamic Modeling of Wetlands for Flood Detention","10.1023/A:1008031011773"
"Rehabilitation of concrete canals in urban catchments using low impact development techniques","10.1016/j.jhydrol.2015.01.034"
"Structure and ecosystem services of small-leaved lime (Tilia cordata Mill.) and black locust (Robinia pseudoacacia L.) in urban environments","10.1016/j.ufug.2015.10.005"
"Impacts of urbanization on river flow frequency: A controlled experimental modeling-based evaluation approach","10.1016/j.jhydrol.2013.04.051"
"Assessing biological and chemical signatures related to nutrient removal by floating islands in stormwater mesocosms","10.1016/j.chemosphere.2012.04.030"
"Wetland system network analysis for environmental flow allocations in the Baiyangdian Basin, China","10.1016/j.ecolmodel.2011.09.013"
"Nutrient removal and greenhouse gas emissions in duckweed treatment ponds","10.1016/j.watres.2012.12.009"
"Stormwater nitrogen removal performance of a floating treatment wetland","10.2166/wst.2013.410"
"Nutrient and dissolved organic carbon removal from natural waters using industrial by-products","10.1016/j.scitotenv.2012.10.008"
"Management scenario evaluation for a large treatment wetland using a spatio-temporal phosphorus transport and cycling model","10.1016/j.ecoleng.2010.06.012"
"Storm water detention ponds: Modeling heavy metal removal by plant species and sediments","10.1061/(ASCE)0733-9372(2006)132:9(1034)"
"HESS Opinions Catchments as meta-organisms - a new blueprint for hydrological modelling","10.5194/hess-21-1107-2017"
"Impacts of a Rapidly Declining Mountain Snowpack on Streamflow Timing in Canada's Fraser River Basin","10.1038/srep19299"
"Hydrologic conditions drive denitrification and greenhouse gas emissions in stormwater detention basins","10.1016/j.ecoleng.2015.10.018"
"The capacity of roadside vegetated filter strips and swales to sequester carbon","10.1016/j.ecoleng.2013.01.018"
"Monitoring Nitrogen Loading and Retention in an Urban Stormwater Detention Pond","10.2134/jeq2010.0300"
"Spatial variability of soil and nutrient characteristics of semi-arid grasslands and shrublands, Jornada Basin, New Mexico","10.1002/eco.1"
"Contaminant exposure and effects in red-winged blackbirds inhabiting stormwater retention ponds","10.1007/s00267-003-0058-6"
"Incorporating Hydrologic Data and Ecohydrologic Relationships into Ecological Site Descriptions","10.1016/j.rama.2015.10.001"
"Where does all the water go? Partitioning water transmission losses in a data-sparse, multi-channel and low-gradient dryland river system using modelling and remote sensing","10.1016/j.jhydrol.2015.08.030"
"Hotspots'' and Hot Moments'' of Denitrification in Urban Brownfield Wetlands","10.1007/s10021-014-9778-0"
"The use of crustaceans as sentinel organisms to evaluate groundwater ecological quality","10.1016/j.ecoleng.2013.04.009"
"Improving the performance of stormwater detention basins by real-time control using rainfall forecasts","10.1080/1573062X.2012.726229"
"Molecular weight distribution of phosphorus fraction of aquatic dissolved organic matter","10.1016/j.chemosphere.2013.01.113"
"Modeling post-fire water erosion mitigation strategies","10.5194/hess-17-2323-2013"
"Ecological research for aquatic science and environmental restoration in south Florida","10.1890/1051-0761(2000)010[0990:ERFASA]2.0.CO;2"
"The Urban Environment Can Modify Drought Stress of Small-Leaved Lime (Tilia cordata Mill.) and Black Locust (Robinia pseudoacacia L.)","10.3390/f7030071"
"Stormwater-related transport of the insecticides bifenthrin, fipronil, imidacloprid, and chlorpyrifos into a tidal wetland, San Francisco Bay, California","10.1016/j.scitotenv.2015.04.095"
"Climate Change and Hydrological Response in the Trans-State Oologah Lake Watershed-Evaluating Dynamically Downscaled NARCCAP and Statistically Downscaled CMIP3 Simulations with VIC Model","10.1007/s11269-014-0678-z"
"Modeling methane emissions from the Alaskan Yukon River basin, 1986-2005, by coupling a large-scale hydrological model and a process-based methane model","10.1029/2011JG001843"
"Estimation of nitrogen dynamics in a vertical-flow constructed wetland","10.1016/j.ecoleng.2010.11.008"
"Laboratory study highlights the key influences of stormwater sediment thickness and bioturbation by tubificid worms on dynamics of nutrients and pollutants in stormwater retention systems","10.1016/j.chemosphere.2008.01.052"
"The influence of urbanisation on macroinvertebrate biodiversity in constructed stormwater wetlands","10.1016/j.scitotenv.2015.07.066"
"Comparison of stormwater biofiltration systems in Southeast Australia and Southern California","10.1002/wat2.1064"
"Water Sources and Hydrodynamics of Closed-Basin Depressions, Cook Inlet Region, Alaska","10.1007/s13157-011-0147-x"
"Understanding wetland sub-surface hydrology using geologic and isotopic signatures","10.5194/hess-13-1313-2009"
"Nitrogen and phosphorus mass balance, retention and uptake in six plant species grown in stormwater bioretention microcosms","10.1016/j.ecoleng.2016.11.020"
"Hydrologic Regimes Revealed Bundles and Tradeoffs Among Six Wetland Services","10.1007/s10021-014-9775-3"
"Field tracer investigation of unsaturated zone flow paths and mechanisms in agricultural soils of northwestern Mississippi, USA","10.1016/j.jhydrol.2010.09.009"
"Surface Water Sulfate Dynamics in the Northern Florida Everglades","10.2134/jeq2007.0455"
"Groundwater and surface-water interactions in a confined alluvial aquifer between two rivers: effects of groundwater flow dynamics on high iron anomaly","10.1007/s10040-006-0110-8"
"Long-term assessment at field scale of Floating Treatment Wetlands for improvement of water quality and provision of ecosystem services in a eutrophic urban pond","10.1016/j.scitotenv.2017.01.072"
"Bioaccumulation of copper, lead, and zinc in six macrophyte species grown in simulated stormwater bioretention systems","10.1016/j.jenvman.2015.10.019"
"Response of flow regimes to deforestation and reforestation in a rain-dominated large watershed of subtropical China","10.1002/hyp.10459"
"The fingerprints of urban nutrients: dynamics of phosphorus speciation in water flowing through developed landscapes","10.1007/s10533-015-0114-3"
"Stimulation of fecal bacteria in ambient waters by experimental inputs of organic and inorganic phosphorus","10.1016/j.watres.2013.03.047"
"Benzo(a)pyrene inhibits the role of the bioturbator Tubifex tubifex in river sediment biogeochemistry","10.1016/j.scitotenv.2013.02.013"
"A model of phosphorus cycling to explore the role of biomass turnover in submerged aquatic vegetation wetlands for Everglades restoration","10.1016/j.ecolmodel.2012.12.001"
"Assessing the impacts of vegetation heterogeneity on energy fluxes and snowmelt in boreal forests","10.1093/jpe/rtr004"
"Vegetation and Land use Impact on Water Loss Rate in Playas of the Southern High Plains, USA","10.1007/s13157-010-0117-8"
"Quantifying seasonal variation in total phosphorus and nitrogen from prairie streams in the Red River Basin, Manitoba Canada","10.1016/j.scitotenv.2016.09.073"
"The 2014 water release into the arid Colorado River delta and associated water losses by evaporation","10.1016/j.scitotenv.2015.09.157"
"Enhanced Denitrification in Bioretention Using Woodchips as an Organic Carbon Source","10.1061/JSWBAY.0000800"
"Characterizing redox conditions and monitoring attenuation of selected pharmaceuticals during artificial recharge through a reactive layer","10.1016/j.scitotenv.2015.01.030"
"Fundamental spatial and temporal disconnections in the hydrology of an intermittent prairie headwater network","10.1016/j.jhydrol.2014.12.031"
"Time series analysis of the long-term hydrologic impacts of afforestation in the Agueda watershed of north-central Portugal","10.5194/hess-19-3033-2015"
"Copper Stable Isotopes To Trace Copper Behavior in Wetland Systems","10.1021/es405688v"
"Comprehensive assessment for removing multiple pollutants by plants in bioretention systems","10.1007/s11434-014-0200-2"
"The role of flood size and duration on streamflow and riparian groundwater composition in a semi-arid basin","10.1016/j.jhydrol.2013.02.049"
"Bioretention: assessing effects of winter salt and aggregate application on plant health, media clogging and effluent quality","10.2166/wqrjc.2013.065"
"Ecosystem Characteristics and Summer Secondary Production in Stormwater Ponds and Reference Wetlands","10.1007/s13157-010-0057-3"
"Restoring native vegetation to an urban wet meadow dominated by reed canarygrass (Phalaris arundinacea L.) in Wisconsin","10.3375/0885-8608(2007)27[354:RNVTAU]2.0.CO;2"
"Occurrence and relative abundance of mosquitoes in stormwater retention facilities in North Carolina, USA","10.2166/wst.2006.625"
"MULTIOBJECTIVE APPROACHES IN FRESH-WATER WETLAND RESTORATION AND DESIGN","10.1080/02508069508686457"
"Nickel bioaccumulation by the chosen plant species","10.1007/s11738-016-2062-5"
"Novel water sources restore plant and animal communities along an urban river","10.1002/eco.1560"
"Optimization of bioretention systems through application of ecological theory","10.1002/wat2.1072"
"Assessing the spatial and temporal variation of the rainwater harvesting potential (1971-2010) on the Chinese Loess Plateau using the VIC model","10.1002/hyp.9608"
"Denitrification and Potential Nitrous Oxide and Carbon Dioxide Production in Brownfield Wetland Soils","10.2134/jeq2012.0392"
"Improved urban stormwater treatment and pollutant removal pathways in amended wet detention ponds","10.1080/10934529.2012.673306"
"Response of two wetland plant species to Cd exposure at low and neutral pH","10.1016/j.envexpbot.2008.11.011"
"Impact of olive oil wastewater on the physicochemical and biological quality of groundwater in the Haouz plain, South of Marrakesh (Morocco)","10.1080/09593330802131669"
"Estimating the effect of cropland to prairie conversion on peak storm run-off","10.1111/j.1526-100X.2007.00284.x"
"Effects of large-scale sediment removal on herpetofauna in Florida wetlands","10.1670/116-03N"
"Hydrologic design considerations of constructed wetlands for urban stormwater runoff","10.1111/j.1752-1688.1999.tb03593.x"
"Acute pollution of recipients in urban areas","10.1016/S0273-1223(97)00601-X"
"Integrating drainage, water quality, wetlands, and habitat in a planned community development","10.1061/(ASCE)0733-9488(1996)122:3(101)"
"Streamflow and Sediment Yield Prediction for Watershed Prioritization in the Upper Blue Nile River Basin, Ethiopia","10.3390/w9100782"
"Short-Term Impacts of Tree Removal on Runoff and Erosion From Pinyon- and Juniper-Dominated Sagebrush Hillslopes","10.1016/j.rama.2015.07.004"
"Meeting the criteria: linking biofilter design to fecal indicator bacteria removal","10.1002/wat2.1096"
"Performance and Longevity of Denitrifying Wood-Chip Biofilters for Stormwater Treatment: A Microcosm Study","10.1089/ees.2014.0358"
"Hydrogeochemical contrasts between low and high arsenic groundwater and its implications for arsenic mobilization in shallow aquifers of the northern Yinchuan Basin, P.R. China","10.1016/j.jhydrol.2014.06.026"
"Nutrient Dynamics in Flooded Wetlands. I: Model Development","10.1061/(ASCE)HE.1943-5584.0000741"
"Complex baseflow in urban streams: an example from central Ohio, USA","10.1007/s12665-013-2358-3"
"Compartment-based hydrodynamics and water quality modeling of a Northern Everglades Wetland, Florida, USA","10.1016/j.ecolmodel.2012.09.007"
"Assessment of mineral concentration impacts from pumped stormwater on an Everglades Wetland, Florida, USA - Using a spatially-explicit model","10.1016/j.jhydrol.2012.05.016"
"Integrated monitoring and assessment of soil restoration treatments in the Lake Tahoe Basin","10.1007/s10661-008-0236-3"
"Hydrologic impacts of mechanical seeding treatments on sagebrush rangelands","10.2111/07-013R1.1"
"Sealing pond bottoms with muddy water","10.1016/S0925-8574(01)00071-4"
"Limitations to vegetation establishment and growth in biofiltration swales","10.1016/S0925-8574(00)00173-7"
"Vegetation type alters water and nitrogen budgets in a controlled, replicated experiment on residential-sized rain gardens planted with prairie, shrub, and turfgrass","10.1007/s11252-016-0568-7"
"Urban pollution of sediments: Impact on the physiology and burrowing activity of tubificid worms and consequences on biogeochemical processes","10.1016/j.scitotenv.2016.05.174"
"Snow hydrology of a constructed watershed in the Athabasca oil sands region, Alberta, Canada","10.1002/hyp.10813"
"Complex interactions among nutrients, chlorophyll-a, and microcystins in three stormwater wet detention basins with floating treatment wetlands","10.1016/j.chemosphere.2015.08.023"
"Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example","10.1016/j.scitotenv.2015.06.115"
"Assessment of PAH dissipation processes in large-scale outdoor mesocosms simulating vegetated road-side swales","10.1016/j.scitotenv.2015.03.020"
"Geomorphic-vegetation relationships using a geopedological classification system, northern Chihuahuan Desert, USA","10.1016/j.jaridenv.2012.10.001"
"Defect-disorder and risk assessment of heritage trees in urban Hong Kong","10.1016/j.ufug.2013.06.003"
"Sediments infiltration traps: their use to monitor salmonid spawning habitat in headwater tributaries of the Cascapedia River, Quebec","10.1002/hyp.5879"
"SEEPAGE INTO A MOUNTAIN TUNNEL AND RAIN INFILTRATION","10.1016/0022-1694(93)90078-N"
"Geomorphic change and sediment transport during a small artificial flood in a transformed post-dam delta: The Colorado River delta, United States and Mexico","10.1016/j.ecoleng.2016.08.009"
"Herbicides and trace metals in urban waters in Melbourne, Australia (2011-12): concentrations and potential impact","10.1007/s11356-017-8395-9"
"Analysis of intensity and spatial patterns of public use in natural treatment systems using geotagged photos from social media","10.1016/j.watres.2016.09.009"
"The Potential Role of Urban Forests in Removing Nutrients from Stormwater","10.2134/jeq2015.01.0047"
"Application of BMP to urban runoff control using SUSTAIN model: Case study in an industrial area","10.1016/j.ecolmodel.2015.06.018"
"Trace metal extraction and biomass production by spontaneous vegetation in temporary Mediterranean stormwater highway retention ponds: Freshwater macroalgae (Chara spp.) vs. cattails (Typha spp.)","10.1016/j.ecoleng.2015.04.052"
"Stable isotopes as indicators of water and salinity sources in a southeast Australian coastal wetland: identifying relict marine water, and implications for future change","10.1007/s10040-014-1199-9"
"Regulation of diffuse pesticide pollution: Combining point source reduction and mitigation in stormwater wetland (Rouffach, France)","10.1016/j.ecoleng.2013.07.030"
"The impact of water reuse on the hydrology and ecology of a constructed stormwater wetland and its catchment","10.1016/j.ecoleng.2012.06.006"
"Functional assessment of interconnected aquatic ecosystems in the Baiyangdian Basin-An ecological-network-analysis based approach","10.1016/j.ecolmodel.2011.10.002"
"Network Analysis and Comparative Studies on Baiyangdian and Okefenokee Wetland Systems in China and US","10.3808/jei.201100198"
"Cd, Cu and Zn mobility in contaminated sediments from an infiltration basin colonized by wild plants: The case of Phalaris arundinacea and Typha latifolia","10.2166/wst.2011.161"
"Preservation of Watershed Regime for Low-Impact Development through Detention","10.1061/(ASCE)HE.1943-5584.0000144"
"Sediment Contamination and Faunal Communities in Two Subwatersheds of Mona Lake, Michigan","10.2134/jeq2008.0429"
"Methylmercury production and accumulation in urban stormwater ponds and habitat wetlands","10.1016/j.envpol.2016.11.082"
"Modelling the impact of agroforestry on hydrology of Mara River Basin in East Africa","10.1002/hyp.10852"
"Bacteria Removal from Stormwater Runoff Using Tree Filters: A Comparison of a Conventional and an Innovative System","10.3390/w8030076"
"Impacts of multiple stressors on ecosystem function: Leaf decomposition in constructed urban wetlands","10.1016/j.envpol.2015.08.038"
"Isotopic identification of soil and permafrost nitrate sources in an Arctic tundra ecosystem","10.1002/2014JG002883"
"Replacing natural wetlands with stormwater management facilities: Biophysical and perceived social values","10.1016/j.watres.2014.12.035"
"Assessing the significance of wetland restoration scenarios on sediment mitigation plan","10.1016/j.ecoleng.2014.11.031"
