Speciesa,Family,Growth formb,Count,Relative abundance (%),Height >20 m,Final crown spread,fast growth,interesting tree form,deciduous habit,showy flowers,fine-textured foliage,seasonal foliage color,edible fruit,shading effect,hardiness,nitrogen fixing
Juniperus chinensis,Cupressaceae,Conifer,269,17.92,0,0,0,1,0,0,1,0,0,0,1,0
Michelia alba,Magnoliaceae,BLE,151,10.06,1,0,1,0,0,1,0,0,0,0,0,0
Dypsis lutescens,Palmae,Palm,108,7.2,0,0,0,1,0,0,0,0,0,0,0,0
Delonix regia,Caesalpiniaceae,BLD,83,5.53,1,1,1,1,1,1,1,1,0,1,0,1
Dimocarpus longan,Sapindaceae,BLE,70,4.66,0,0,0,0,0,0,0,0,1,1,0,0
Araucaria heterophylla,Araucariaceae,Conifer,63,4.2,1,0,0,1,0,0,1,0,0,0,0,0
Archontophoenix alexandrae,Palmae,Palm,61,4.06,1,0,0,1,0,0,0,0,0,0,0,0
Aleurites moluccana,Euphorbiaceae,BLE,42,2.8,0,0,1,0,0,0,0,0,0,1,0,0
Casuarina equisetifolia,Casuarinaceae,BLE,38,2.53,1,0,1,1,0,0,1,0,0,0,1,1
Bauhinia “Blakeana”a,Caesalpiniaceae,BLE,37,2.47,0,0,1,0,0,1,0,0,0,0,0,1
Litchi chinensis,Sapindaceae,BLE,36,2.4,0,0,0,0,0,0,0,0,1,1,0,0
Syzygium jambos,Myrtaceae,BLE,33,2.2,0,0,0,0,0,1,0,0,1,1,0,0
Caryota maxima,Palmae,Palm,32,2.13,0,0,1,1,0,0,1,0,0,0,0,0
Magnolia grandiflora,Magnoliaceae,BLE,29,1.93,0,0,1,0,0,1,0,0,0,0,0,0
Mangifera indica,Anacardiaceae,BLE,27,1.8,1,1,1,0,0,0,0,1,1,1,1,0
Cinnamomum camphoraa,Lauraceae,BLE,26,1.73,1,1,1,0,0,0,0,1,0,1,1,0
Plumeria rubra,Apocynaceae,BLD,26,1.73,0,0,1,0,1,1,0,0,0,0,1,0
Podocarpus macrophyllusa,Podocarpaceae,Conifer,25,1.67,0,0,0,1,0,0,1,0,0,0,1,0
Ficus microcarpaa,Moraceae,BLE,24,1.6,1,1,0,1,0,0,0,0,0,1,1,0
Carica papaya,Cariaceae,BLE,22,1.47,0,0,1,1,0,0,1,0,1,0,0,0
Bauhinia variegata,Caesalpiniaceae,BLD,21,1.4,0,0,1,0,1,1,0,0,0,0,0,1
Manilkara zapota,Sapotaceae,BLE,19,1.27,0,0,0,0,0,0,0,0,1,0,0,0
Araucaria cunninghamii,Araucariaceae,Conifer,17,1.13,1,0,0,1,0,0,1,0,0,0,0,0
Terminalia catappa,Combretaceae,BLD,15,1,1,1,1,1,1,0,1,1,1,0,1,0
Artocarpus nitidus subsp. lingnanensis,Moraceae,BLE,13,0.87,0,0,0,0,0,0,0,0,1,1,0,0
Callistemon viminalis,Myrtaceae,BLE,13,0.87,0,0,1,1,0,1,1,0,0,0,0,0
Eriobotrya japonica,Rosaceae,BLE,13,0.87,0,0,0,0,0,0,0,0,1,0,0,0
Psidium guajava,Myrtaceae,BLE,12,0.8,0,0,1,0,0,1,0,0,1,0,1,0
Punica granatum,Punicaceae,BLE,12,0.8,0,0,0,0,1,1,1,0,1,0,0,0
Senna surattensis,Caesalpiniaceae,BLE,10,0.67,0,0,1,0,0,1,1,0,0,0,0,1
Clausena lansium,Rutaceae,BLE,10,0.67,0,0,0,0,0,0,0,0,1,0,0,0
Ficus elastica,Moraceae,BLE,10,0.67,1,1,1,0,0,0,1,0,0,1,1,0
Bombax ceiba,Bombacaceae,BLD,9,0.6,1,0,1,1,1,1,1,0,0,0,0,0
Ficus benjamina,Moraceae,BLE,9,0.6,1,1,1,1,0,0,1,0,0,1,1,0
Phoenix roebelenii,Palmae,Palm,9,0.6,0,0,0,1,0,0,0,0,0,0,0,0
Acacia confusa,Mimosaceae,BLE,7,0.47,0,0,1,0,0,0,1,0,0,0,1,1
Nerium oleander,Apocynaceae,BLE,7,0.47,0,0,0,0,0,1,0,0,0,0,1,0
Ravenala madagascariensis,Strelitziaceae,Palm-like,7,0.47,0,0,0,1,0,0,0,0,0,0,0,0
Celtis sinensisa,Ulmaceae,BLD,6,0.4,1,1,0,0,1,0,0,1,0,1,1,0
Cycas revoluta,Cycadaceae,Palm-like,6,0.4,0,0,0,1,0,0,0,0,0,0,1,0
Glyptostrobus pensilis,Taxodiaceae,Conifer,6,0.4,0,0,0,1,1,0,1,1,0,0,0,0
Macaranga tanarius var. tomentosaa,Euphorbiaceae,BLE,6,0.4,0,0,1,1,0,0,1,0,0,1,0,0
Annona squamosa,Annonaceae,BLD,5,0.33,0,0,0,0,1,0,0,0,1,0,0,0
Cocos nucifera,Palmae,Palm,5,0.33,1,0,0,1,0,0,0,0,1,0,0,0
Dracontomelon duperreanum,Anacardiaceae,BLE,5,0.33,1,0,0,0,0,0,0,0,1,0,0,0
Citrus maxima,Rutaceae,BLE,4,0.27,0,0,0,0,0,0,0,0,1,0,0,0
Casuarina cunninghamiana,Casuarinaceae,BLE,3,0.2,0,0,1,1,0,0,1,0,0,0,1,1
Cupressus funebris,Cupressaceae,Conifer,3,0.2,0,0,0,1,0,0,1,0,0,0,0,0
Erythrina speciosa,Papilionaceae,BLD,3,0.2,0,0,1,0,1,1,1,0,0,0,0,1
Eucalyptus robusta,Myrtaceae,BLE,3,0.2,1,0,1,1,0,0,0,0,0,0,0,0
Litsea glutinosaa,Lauraceae,BLE,3,0.2,0,0,0,0,0,0,0,0,0,1,1,0
Salix babylonica,Salicaceae,BLD,3,0.2,0,0,1,1,1,0,1,0,0,0,0,0
Artocarpus heterophyllus,Moraceae,BLE,2,0.13,0,0,0,0,0,0,1,0,1,1,0,0
Elaeocarpus hainanensis,Elaeocarpaceae,BLE,2,0.13,0,0,1,1,0,0,0,0,0,0,0,0
Pinus elliottii,Pinaceae,Conifer,2,0.13,1,0,1,1,0,0,0,0,0,0,0,0
Pinus massonianaa,Pinaceae,Conifer,2,0.13,1,0,1,1,0,0,0,0,0,0,1,0
Syzygium cumini,Myrtaceae,BLE,2,0.13,1,1,1,0,0,0,0,0,1,1,0,0
Acacia mangium,Mimosaceae,BLE,1,0.07,0,0,1,0,0,0,0,0,0,1,1,0
Bischofia javanicaa,Euphorbiaceae,BLD,1,0.07,1,1,1,0,1,0,1,1,0,1,0,0
Cinnamomum burmaniia,Lauraceae,BLE,1,0.07,0,0,0,0,0,0,0,0,0,1,0,0
Crateva unilocularis,Capparidaceae,BLD,1,0.07,0,0,0,1,1,1,1,1,0,1,0,0
Yulania denudata,Magnoliaceae,BLD,1,0.07,0,0,0,0,1,1,0,0,0,0,0,0
Melaleuca cajuputi subsp. cumingiana,Myrtaceae,BLE,1,0.07,0,0,1,1,0,1,0,0,0,0,0,0
Melia azedarach,Meliaceae,BLD,1,0.07,0,0,1,0,1,1,1,0,0,0,1,0
Persea americana,Lauraceae,BLE,1,0.07,0,0,0,0,0,0,0,0,1,0,0,0
Pongamia pinnataa,Papilionaceae,BLE,1,0.07,0,0,1,0,0,1,0,0,0,1,0,1
Pterospermum heterophylluma,Sterculiaceae,BLE,1,0.07,0,0,0,0,0,0,1,0,0,0,0,0
Roystonea regia,Palmae,Palm,1,0.07,1,0,1,1,0,0,0,0,0,0,1,0
Schefflera heptaphyllaa,Araliaceae,BLE,1,0.07,0,0,1,0,0,0,0,0,0,1,1,0
Spathodea campanulata,Bignoniaceae,BLE,1,0.07,0,0,1,0,0,1,0,0,0,0,0,0
Syagrus romanzoffiana,Palmae,Palm,1,0.07,0,0,1,1,0,0,0,0,0,0,0,0
Vitex tripinnata,Verbenaceae,BLE,1,0.07,0,0,0,0,0,1,0,0,0,1,0,0
