Order,Family,Taxon,Records,Individuals,Status,UKBAP
Arachnida: Araneae,Hahniidae,Hahnia nava,1,1,Local,
Arachnida: Araneae,Linyphiidae,Bathyphantes gracilis,1,1,,
Arachnida: Araneae,Linyphiidae,Erigone arctica,32,67,Local,
Arachnida: Araneae,Linyphiidae,Erigone atra,13,16,,
Arachnida: Araneae,Linyphiidae,Erigone dentipalpis,48,86,,
Arachnida: Araneae,Linyphiidae,Gnathonarium dentatum,1,1,,
Arachnida: Araneae,Linyphiidae,Lepthyphantes tenuis,31,39,,
Arachnida: Araneae,Linyphiidae,Meioneta rurestris,21,26,,
Arachnida: Araneae,Linyphiidae,Meioneta simplicitarsis,1,1,Notable/Na,
Arachnida: Araneae,Linyphiidae,Milleriana inerrans,2,2,Local,
Arachnida: Araneae,Linyphiidae,Oedothorax apicatus,14,18,Local,
Arachnida: Araneae,Linyphiidae,Oedothorax fuscus,54,110,,
Arachnida: Araneae,Linyphiidae,Oedothorax retusus,2,2,,
Arachnida: Araneae,Linyphiidae,Pelecopsis parallela,3,5,Local,
Arachnida: Araneae,Linyphiidae,Prinerigone vagans,3,3,Local,
Arachnida: Araneae,Salticidae,Euophrys frontalis,1,1,,
Arachnida: Araneae,Theridiidae,Enoplognatha ovata/latimana sens. lat.,3,4,,
Arachnida: Araneae,Theridiidae,Steatoda grossa,1,1,Local,
Arachnida: Araneae,Theridiidae,Steatoda nobilis,1,1,Unknown,
Arachnida: Araneae,Thomisidae,Ozyptila sanctuaria,2,3,Local,
Coleoptera,Carabidae,Amara eurynota,12,18,Local,
Coleoptera,Carabidae,Harpalus affinis,4,4,,
Coleoptera,Carabidae,Notiophilus rufipes,1,1,Local,
Coleoptera,Oedemeridae,Oedemera lurida,3,4,Local,
Diptera,Syrphidae,Eupeodes corollae,1,1,,
Hymenoptera: Aculeata,Apidae,Bombus humilis,3,3,Local,UKBAP
Hymenoptera: Aculeata,Apidae,Bombus lapidarius,1,1,,
Hymenoptera: Aculeata,Apidae,Bombus lucorum,8,8,,
Hymenoptera: Aculeata,Apidae,Bombus pascuorum,1,1,,
Hymenoptera: Aculeata,Apidae,Bombus terrestris,6,10,,
Hymenoptera: Aculeata,Formicidae,Lasius flavus,7,8,,
Hymenoptera: Aculeata,Formicidae,Lasius mixtus,2,2,Local,
Hymenoptera: Aculeata,Formicidae,Lasius niger sens. str.,19,24,,
Hymenoptera: Aculeata,Formicidae,Myrmecina graminicola,1,1,Local,
Hymenoptera: Aculeata,Formicidae,Ponera coarctata,1,1,Notable/Nb,
Lepidoptera,Noctuidae,Calophasia lunula,1,2,RDB3,
