"ID","Title","Category","Address","lon","lat"
1,"220 Oak St","Community Garden","220 Oak St. Toronto, ON",-79.3574236,43.6630958
2,"855 Roselawn Ave","Community Garden","855 Roselawn Ave, Toronto, ON",-79.441512,43.7018751
3,"Alex Wilson Community Garden","School & Childrens Garden","552 Richmond St W, Toronto, ON",-79.4006308,43.6473248
4,"Alexandra Park Diversity Garden","Community Garden","707 Dundas St W, Toronto, ON",-79.4049646,43.6517657
5,"Amaranth Community Garden","Community Garden","n/a",-75.1975343,40.9869366
6,"Ashbridges Eco Garden","Allotment Garden","101 Coxwell Ave, Toronto, ON",-79.3174833,43.6690485
7,"Bain Community Garden","Community Garden","100 Bain Ave, Toronto, ON",-79.348454,43.671488
8,"Beach Edible Community Garden","Community Garden","Ashbridges Bay Park 1675 Lake Shore Blvd E Toronto, ON",-79.3116652,43.6618354
9,"Bell Manor Garden","Community Garden","Bell Manor Drive, Toronto, ON",-79.4899773,43.6374955
10,"Bill and Bob's Garden","School & Childrens Garden","21 Winchester St, Toronto, ON",-79.370055,43.6654894
11,"Blackwell Children's Garden","School & Childrens Garden","99 Blackwell Ave, Toronto, ON",-79.2202291,43.8053274
12,"Blackwell Children's Garden","School & Childrens Garden","99 Blackwell Ave, Toronto, ON",-79.2202291,43.8053274
13,"Bob Hunter Community Garden","Community Garden","Bob Hunter Park, Toronto, ON",-79.1604613,43.8022743
14,"Braeburn Neighbourhood Place Community Garden","Community Garden","75 Tandridge Cres, Toronto, ON",-79.545991,43.728982
15,"Campbell-Rankin Community Garden","Allotment Garden","Rankin Ave. at Symington Ave., Toronto, ON",-79.4480898,43.6581515
16,"Carrville Community Garden","Community Garden","9100 Bathurst St, Richmond Hill",-79.4581714,43.8432286
17,"Cecil Community Centre Garden","Community Garden","58 Cecil St, Toronto, ON",-79.3985699,43.6563663
18,"Cedarvale Park Community Garden","Community Garden","Cedarvale Park, Toronto, ON",-79.4262569,43.6836719
19,"Chalkfarm Community Garden","Community Garden","180 Chalkfarm Dr, North York",-79.5122873,43.7242099
20,"Chester Le Olive Garden","Community Garden","255 Chester Le Blvd, Toronto, ON",-79.3327262,43.7998837
21,"Dallington Pollinators Garden","Community Garden","Dallington Park, Toronto, ON",-79.3576468,43.7741015
22,"Dig In! Campus Agriculture","Community Garden","27 Kings College Circle, Toronto, ON",-79.3954943,43.660849
23,"Dragon Alley Community Garden","School & Childrens Garden","9 Bonar Place, Toronto, ON",-79.4338219,43.6527778
24,"Dufferin Grove Recreation-led Community Gardens","Community Garden","875 Dufferin St, Toronto, ON",-79.4336351,43.6569852
25,"Duncan Mills Co-op Garden","Community Garden","2040 Don Mills Rd, Toronto, ON",-79.3478318,43.7637342
26,"Dunn Parkette Learning Garden","Community Garden,School & Childrens Garden","185 Close Ave, Toronto, ON, Canada",-79.4352083,43.6395612
27,"Earlscourt Community Garden","Allotment Garden","1369 St. Clair Ave, Toronto, ON",-79.4517345,43.6758675
28,"East York Community Garden","Community Garden","9 Haldon Ave, Toronto, ON",-79.3112677,43.6975477
29,"Ecology Park","Community Garden","25 Madison Ave, Toronto, ON",-79.4026358,43.6683499
30,"Eglinton Park Community Garden","School & Childrens Garden","200 Eglinton Ave W, Toronto, ON",-79.4045237,43.7069278
31,"Emmett Ave Community Garden","Community Garden","101 Emmett Ave, Toronto, ON",-79.5081746,43.6854343
